sequence,length,participation_index,tail_event_count,last_participation_ratio
Coffee Shop -> Office,2,0.3702857142857143,324,0.3702857142857143
Office -> Coffee Shop,2,0.3044982698961938,176,0.3044982698961938
Bar -> American Restaurant,2,0.2684563758389262,80,0.2684563758389262
Gym / Fitness Center -> Office,2,0.2571428571428571,225,0.2571428571428571
Office -> Coffee Shop -> Office,3,0.2537142857142857,222,0.2537142857142857
Office -> Train Station,2,0.25,130,0.25
Office -> Gym / Fitness Center,2,0.21009771986970685,129,0.21009771986970685
Office -> Park,2,0.1918158567774936,75,0.1918158567774936
Office -> Deli / Bodega,2,0.1901639344262295,58,0.1901639344262295
Gym / Fitness Center -> Coffee Shop,2,0.18858131487889274,109,0.18858131487889274
Office -> American Restaurant,2,0.18791946308724833,56,0.18791946308724833
Coffee Shop -> Deli / Bodega,2,0.18688524590163935,57,0.18688524590163935
Gym / Fitness Center -> Park,2,0.1867007672634271,73,0.1867007672634271
Subway -> Office,2,0.18628571428571428,163,0.18628571428571428
Deli / Bodega -> Office,2,0.1782857142857143,156,0.1782857142857143
Coffee Shop -> American Restaurant,2,0.17785234899328858,53,0.17785234899328858
Coffee Shop -> Park,2,0.17135549872122763,67,0.17135549872122763
Coffee Shop -> Office -> Coffee Shop,3,0.1695501730103806,98,0.1695501730103806
Coffee Shop -> Gym / Fitness Center,2,0.16938110749185667,104,0.16938110749185667
Office -> Food & Drink Shop,2,0.1693121693121693,96,0.1693121693121693
American Restaurant -> Bar,2,0.16775396085740912,180,0.16775396085740912
Coffee Shop -> Train Station,2,0.1673076923076923,87,0.1673076923076923
Gym / Fitness Center -> Bar,2,0.16589002795899346,178,0.16589002795899346
Gym / Fitness Center -> Train Station,2,0.15384615384615385,80,0.15384615384615385
Coffee Shop -> Office -> Train Station,3,0.1519230769230769,79,0.1519230769230769
Gym / Fitness Center -> American Restaurant,2,0.1476510067114094,44,0.1476510067114094
Coffee Shop -> Office -> Coffee Shop -> Office,4,0.14285714285714285,125,0.14285714285714285
Bar -> Train Station,2,0.1423076923076923,74,0.1423076923076923
Train Station -> Office,2,0.14057142857142857,123,0.14057142857142857
Train Station -> Office -> Train Station,3,0.14057142857142857,77,0.14807692307692308
Office -> Gym / Fitness Center -> Office,3,0.136,119,0.136
Gym / Fitness Center -> Food & Drink Shop,2,0.13580246913580246,77,0.13580246913580246
Coffee Shop -> Food & Drink Shop,2,0.13403880070546736,76,0.13403880070546736
Office -> Subway,2,0.1325115562403698,86,0.1325115562403698
Coffee Shop -> Office -> Gym / Fitness Center,3,0.13029315960912052,80,0.13029315960912052
Coffee Shop -> Bar,2,0.12954333643988816,139,0.12954333643988816
Gym / Fitness Center -> Coffee Shop -> Office,3,0.12914285714285714,113,0.12914285714285714
Gym / Fitness Center -> Office -> Coffee Shop,3,0.12802768166089964,74,0.12802768166089964
Office -> Bar,2,0.1276794035414725,137,0.1276794035414725
Office -> Coffee Shop -> Office -> Train Station,4,0.12692307692307692,66,0.12692307692307692
Food & Drink Shop -> Office,2,0.12571428571428572,110,0.12571428571428572
