sequence,length,participation_index,tail_event_count,last_participation_ratio
Office -> Clothing Store,2,0.37,333,0.37
Office -> Hotel,2,0.3693901035673188,321,0.3693901035673188
Coffee Shop -> Office,2,0.36706948640483383,1458,0.36706948640483383
Coffee Shop -> Clothing Store,2,0.3288888888888889,296,0.3288888888888889
Office -> Building,2,0.30776092774308655,345,0.30776092774308655
Office -> Coffee Shop,2,0.303951367781155,700,0.303951367781155
Bar -> Hotel,2,0.2945914844649022,256,0.2945914844649022
Gym / Fitness Center -> Clothing Store,2,0.27111111111111114,244,0.27111111111111114
Gym / Fitness Center -> Office,2,0.2701409869083585,1073,0.2701409869083585
Office -> Coffee Shop -> Office,3,0.2555387713997986,1015,0.2555387713997986
Bar -> American Restaurant,2,0.2542056074766355,272,0.2542056074766355
Coffee Shop -> Hotel,2,0.24395857307249713,212,0.24395857307249713
Subway -> Office,2,0.23061430010070494,916,0.23061430010070494
Office -> Deli / Bodega,2,0.22677165354330708,288,0.22677165354330708
Coffee Shop -> Office -> Clothing Store,3,0.22111111111111112,199,0.22111111111111112
Office -> Train Station,2,0.21926605504587157,478,0.21926605504587157
Bar -> Pizza Place,2,0.211864406779661,150,0.211864406779661
Gym / Fitness Center -> Hotel,2,0.20828538550057538,181,0.20828538550057538
Gym / Fitness Center -> Office -> Clothing Store,3,0.20222222222222222,182,0.20222222222222222
Office -> Park,2,0.2018111254851229,312,0.2018111254851229
Coffee Shop -> Building,2,0.20071364852809992,225,0.20071364852809992
Coffee Shop -> Deli / Bodega,2,0.1952755905511811,248,0.1952755905511811
Bar -> Clothing Store,2,0.19333333333333333,174,0.19333333333333333
Office -> Gym / Fitness Center,2,0.1887613771270281,477,0.1887613771270281
Deli / Bodega -> Office,2,0.18856998992950655,749,0.18856998992950655
Building -> Office,2,0.18680765357502518,742,0.18680765357502518
Coffee Shop -> Office -> Hotel,3,0.18642117376294592,162,0.18642117376294592
Gym / Fitness Center -> Coffee Shop,2,0.1849761181068172,426,0.1849761181068172
Office -> Bank,2,0.17996870109546165,115,0.17996870109546165
Coffee Shop -> Office -> Coffee Shop,3,0.17976552323056882,414,0.17976552323056882
Coffee Shop -> American Restaurant,2,0.17757009345794392,190,0.17757009345794392
Coffee Shop -> Office -> Building,3,0.17662801070472792,198,0.17662801070472792
Subway -> Clothing Store,2,0.17555555555555555,158,0.17555555555555555
Office -> American Restaurant,2,0.17383177570093458,186,0.17383177570093458
Food & Drink Shop -> Clothing Store,2,0.17222222222222222,155,0.17222222222222222
Coffee Shop -> Gym / Fitness Center,2,0.17134942619707164,433,0.17134942619707164
Office -> Coffee Shop -> Clothing Store,3,0.1711111111111111,154,0.1711111111111111
Office -> Coffee Shop -> Office -> Clothing Store,4,0.1688888888888889,152,0.1688888888888889
Gym / Fitness Center -> Park,2,0.16623544631306597,257,0.16623544631306597
Office -> College Academic Building,2,0.16573033707865167,236,0.16573033707865167
Office -> Drugstore / Pharmacy,2,0.16065192083818394,138,0.16065192083818394
Coffee Shop -> Park,2,0.16041397153945666,248,0.16041397153945666
Coffee Shop -> Office -> Coffee Shop -> Office,4,0.1578549848942598,627,0.1578549848942598
Gym / Fitness Center -> American Restaurant,2,0.15700934579439252,168,0.15700934579439252
Coffee Shop -> College Academic Building,2,0.15589887640449437,222,0.15589887640449437
American Restaurant -> Bar,2,0.1555056179775281,692,0.1555056179775281
Office -> Food & Drink Shop,2,0.15359628770301625,331,0.15359628770301625
Subway -> Office -> Clothing Store,3,0.15333333333333332,138,0.15333333333333332
Coffee Shop -> Office -> Deli / Bodega,3,0.15275590551181104,194,0.15275590551181104
Subway -> Hotel,2,0.15074798619102417,131,0.15074798619102417
Gym / Fitness Center -> Bar,2,0.14606741573033707,650,0.14606741573033707
Office -> Building -> Office,3,0.14526686807653574,577,0.14526686807653574
Coffee Shop -> Train Station,2,0.1444954128440367,315,0.1444954128440367
Coffee Shop -> Drugstore / Pharmacy,2,0.14435389988358557,124,0.14435389988358557
Office -> Gym / Fitness Center -> Office,3,0.14425981873111782,573,0.14425981873111782
Office -> Deli / Bodega -> Office,3,0.14274924471299094,567,0.14274924471299094
Office -> Coffee Shop -> Hotel,3,0.142692750287687,124,0.142692750287687
Office -> Pizza Place,2,0.1426553672316384,101,0.1426553672316384
Gym / Fitness Center -> Building,2,0.14183764495985726,159,0.14183764495985726
Gym / Fitness Center -> Office -> Hotel,3,0.14154200230149597,123,0.14154200230149597
Office -> Subway,2,0.14148219441770934,441,0.14148219441770934
Office -> Subway -> Office,3,0.14148219441770934,571,0.14375629405840887
Coffee Shop -> Office -> Train Station,3,0.13990825688073394,305,0.13990825688073394
Subway -> Office -> Hotel,3,0.1380897583429229,120,0.1380897583429229
Office -> Coffee Shop -> Office -> Building,4,0.13737734165923282,154,0.13737734165923282
American Restaurant -> Hotel,2,0.13693901035673187,119,0.13693901035673187
Office -> Gym / Fitness Center -> Clothing Store,3,0.13666666666666666,123,0.13666666666666666
Building -> Clothing Store,2,0.13555555555555557,122,0.13555555555555557
Train Station -> Office,2,0.13544813695871097,538,0.13544813695871097
Train Station -> Office -> Train Station,3,0.13544813695871097,353,0.16192660550458715
Gym / Fitness Center -> Coffee Shop -> Office,3,0.1351963746223565,537,0.1351963746223565
Office -> Coffee Shop -> Building,3,0.13470115967885815,151,0.13470115967885815
