sequence,length,sequence_index,tail_event_count,last_density_ratio
Building -> Office,2,731.3458976563817,58,731.3458976563817
Building -> Office -> Building,3,731.3458976563817,1,752.7177824505483
Building -> Office -> Clothing Store,3,731.3458976563817,1,941.8242204061047
Building -> Office -> Clothing Store -> College Academic Building,4,731.3458976563817,1,34304.836414730016
Building -> Office -> Coffee Shop,3,731.3458976563817,2,1118.072027733563
Building -> Office -> Coffee Shop -> Park,4,731.3458976563817,1,16700.358992562466
Building -> Office -> Park,3,731.3458976563817,1,1151.7488960387907
Other Great Outdoors -> Park,2,691.0493376232745,29,691.0493376232745
Coffee Shop -> Office,2,681.2556988972816,109,681.2556988972816
Coffee Shop -> Office -> Clothing Store,3,681.2556988972816,4,2004.6166893047366
Coffee Shop -> Office -> Deli / Bodega,3,681.2556988972816,2,711.4286502252824
Coffee Shop -> Office -> Deli / Bodega -> Park,4,681.2556988972816,1,16700.358992562466
Coffee Shop -> Office -> Park,3,681.2556988972816,3,919.285816104356
Coffee Shop -> Office -> Park -> Building,4,681.2556988972816,1,14552.543794043933
Office -> Building,2,669.3674317532984,47,669.3674317532984
Office -> Building -> Bar,3,669.3674317532984,4,954.9688302285022
Office -> Building -> Bar -> Other Great Outdoors,4,669.3674317532984,1,7647.61266969757
Office -> Building -> Clothing Store,3,669.3674317532984,1,1162.2511656075335
Office -> Building -> Coffee Shop,3,669.3674317532984,2,919.8323065042078
Office -> Building -> Coffee Shop -> Office,4,669.3674317532984,1,6297.012135753253
Office -> Building -> Coffee Shop -> Park,4,669.3674317532984,1,16700.358992562466
Office -> Building -> Coffee Shop -> Park -> Office,5,669.3674317532984,1,12594.024271506505
Office -> Building -> Neighborhood,3,669.3674317532984,2,1552.2170172258507
Office -> Building -> Office,3,669.3674317532984,9,2411.621669011884
Office -> Building -> Office -> Building,4,669.3674317532984,1,4850.847931347978
Office -> Building -> Park,3,669.3674317532984,2,1421.3071483031886
Office -> Building -> Park -> Office,4,669.3674317532984,1,6297.012135753253
Medical Center -> College Academic Building,2,657.3381827972219,13,657.3381827972219
Medical Center -> College Academic Building -> Coffee Shop,3,657.3381827972219,1,1662.7737848345294
Medical Center -> College Academic Building -> Gym / Fitness Center,3,657.3381827972219,1,1517.123969088686
Medical Center -> College Academic Building -> Gym / Fitness Center -> Medical Center,4,657.3381827972219,2,106242.28379460098
Medical Center -> College Academic Building -> Medical Center,3,657.3381827972219,4,16344.966737630919
Office -> Building -> Other Great Outdoors,3,650.8606527402187,1,650.8606527402187
Deli / Bodega -> Building,2,648.7585083009095,16,648.7585083009095
Deli / Bodega -> Building -> Deli / Bodega,3,648.7585083009095,1,2423.303839829868
American Restaurant -> Clothing Store,2,623.970771151708,11,623.970771151708
American Restaurant -> Clothing Store -> Food & Drink Shop,3,623.970771151708,1,2092.567508810016
American Restaurant -> Clothing Store -> Home (private),3,623.970771151708,1,897.8796681088623
Building -> Deli / Bodega,2,610.5962431067384,16,610.5962431067384
Building -> Deli / Bodega -> Food & Drink Shop,3,610.5962431067384,1,1438.6401623068862
Building -> Deli / Bodega -> Gym / Fitness Center,3,610.5962431067384,1,1232.6632248845574
Building -> Deli / Bodega -> Office,3,610.5962431067384,1,787.1265169691566
Building -> Office -> College Academic Building,3,591.4626968056899,1,591.4626968056899
Building -> Office -> Subway,3,558.0162473329128,2,558.0162473329128
Building -> Clothing Store,2,537.6555588932488,9,537.6555588932488
Building -> Clothing Store -> Coffee Shop,3,537.6555588932488,1,4803.568711744197
Building -> Clothing Store -> College Academic Building,3,537.6555588932488,1,3811.6484905255575
Building -> Clothing Store -> Gym / Fitness Center,3,537.6555588932488,1,2191.4012886836576
Deli / Bodega -> Office,2,517.4118363293757,47,517.4118363293757
