length,support,support_ratio,event_type_sequence,locations,weights,weight_ratios
2,5.48095089414934,0.548095089414934,College Academic Building -> Gym / Fitness Center,"[(-74.24523478746414, 40.79576915960456), (-74.12710815668106, 40.79576915960456)]","(5.48095089414934,)","(0.548095089414934,)"
2,5.458736143761622,0.5458736143761622,Office -> Gym / Fitness Center,"[(-74.1861714720726, 40.83840844876221), (-74.12710815668106, 40.79576915960456)]","(5.458736143761622,)","(0.5458736143761622,)"
2,4.502976011096767,0.45029760110967676,Coffee Shop -> Gym / Fitness Center,"[(-74.06804484128952, 40.753129870446905), (-74.12710815668106, 40.79576915960456)]","(4.502976011096767,)","(0.45029760110967676,)"
2,4.301481732301718,0.4301481732301718,Home (private) -> Gym / Fitness Center,"[(-74.00898152589798, 40.79576915960456), (-74.12710815668106, 40.79576915960456)]","(4.301481732301718,)","(0.4301481732301718,)"
2,3.927475883866854,0.39274758838668544,Other Great Outdoors -> Gym / Fitness Center,"[(-74.00898152589798, 40.79576915960456), (-74.12710815668106, 40.79576915960456)]","(3.927475883866854,)","(0.39274758838668544,)"
2,3.9095752722474315,0.39095752722474314,Drugstore / Pharmacy -> Gym / Fitness Center,"[(-74.00898152589798, 40.79576915960456), (-74.12710815668106, 40.79576915960456)]","(3.9095752722474315,)","(0.39095752722474314,)"
2,3.8960664302563606,0.3896066430256361,Train Station -> Gym / Fitness Center,"[(-74.06804484128952, 40.753129870446905), (-74.12710815668106, 40.79576915960456)]","(3.8960664302563606,)","(0.3896066430256361,)"
2,3.789097664136476,0.3789097664136476,Subway -> Hotel,"[(-73.83179157972336, 40.71049058128926), (-73.77272826433182, 40.66785129213161)]","(3.789097664136476,)","(0.3789097664136476,)"
2,3.7879081438699695,0.37879081438699697,Train Station -> Hotel,"[(-73.8908548951149, 40.66785129213161), (-73.77272826433182, 40.66785129213161)]","(3.7879081438699695,)","(0.37879081438699697,)"
2,3.786457494004283,0.37864574940042833,Food & Drink Shop -> Gym / Fitness Center,"[(-74.00898152589798, 40.79576915960456), (-74.12710815668106, 40.79576915960456)]","(3.786457494004283,)","(0.37864574940042833,)"
2,3.7855483254745224,0.37855483254745226,Neighborhood -> Hotel,"[(-73.83179157972336, 40.66785129213161), (-73.77272826433182, 40.66785129213161)]","(3.7855483254745224,)","(0.37855483254745226,)"
2,3.757988772729468,0.3757988772729468,Office -> Deli / Bodega,"[(-73.94991821050644, 40.79576915960456), (-74.00898152589798, 40.753129870446905)]","(3.757988772729468,)","(0.3757988772729468,)"
2,3.7576983852034784,0.37576983852034784,Medical Center -> Deli / Bodega,"[(-74.00898152589798, 40.71049058128926), (-74.00898152589798, 40.753129870446905)]","(3.7576983852034784,)","(0.37576983852034784,)"
2,3.7532024687916925,0.37532024687916926,Office -> Deli / Bodega,"[(-73.8908548951149, 40.753129870446905), (-74.00898152589798, 40.753129870446905)]","(3.7532024687916925,)","(0.37532024687916926,)"
2,3.74717398981466,0.374717398981466,Subway -> Deli / Bodega,"[(-73.94991821050644, 40.753129870446905), (-74.00898152589798, 40.753129870446905)]","(3.74717398981466,)","(0.374717398981466,)"
3,3.738872141357837,0.37388721413578374,Food & Drink Shop -> Office -> Deli / Bodega,"[(-74.00898152589798, 40.753129870446905), (-73.94991821050644, 40.79576915960456), (-74.00898152589798, 40.753129870446905)]","(3.738872141357837, 3.757988772729468)","(0.37388721413578374, 0.3757988772729468)"
2,3.738872141357837,0.37388721413578374,Food & Drink Shop -> Office,"[(-74.00898152589798, 40.753129870446905), (-73.94991821050644, 40.79576915960456)]","(3.738872141357837,)","(0.37388721413578374,)"
