sequence,length,participation_index,tail_event_count,last_participation_ratio
Office -> Building,2,0.14565217391304347,134,0.14565217391304347
Office -> Coffee Shop,2,0.1271186440677966,240,0.1271186440677966
Office -> Clothing Store,2,0.11989100817438691,88,0.11989100817438691
Office -> Hotel,2,0.11190817790530846,78,0.11190817790530846
Office -> Deli / Bodega,2,0.09942084942084942,103,0.09942084942084942
Coffee Shop -> Clothing Store,2,0.09536784741144415,70,0.09536784741144415
Coffee Shop -> Office,2,0.09428032683846638,300,0.09428032683846638
Office -> Bank,2,0.082,41,0.082
Bar -> Hotel,2,0.08177905308464849,57,0.08177905308464849
Bar -> American Restaurant,2,0.0785876993166287,69,0.0785876993166287
Coffee Shop -> Building,2,0.06956521739130435,64,0.06956521739130435
Office -> Park,2,0.06743421052631579,82,0.06743421052631579
Gym / Fitness Center -> Clothing Store,2,0.0653950953678474,48,0.0653950953678474
Food & Drink Shop -> Clothing Store,2,0.06403269754768393,47,0.06403269754768393
Coffee Shop -> Hotel,2,0.06025824964131994,42,0.06025824964131994
Office -> Neighborhood,2,0.060129509713228495,65,0.060129509713228495
Food & Drink Shop -> Park,2,0.05921052631578947,72,0.05921052631578947
Bar -> Pizza Place,2,0.0582010582010582,33,0.0582010582010582
Train Station -> Hotel,2,0.05595408895265423,39,0.05595408895265423
Deli / Bodega -> Office,2,0.05593966059082338,178,0.05593966059082338
Gym / Fitness Center -> Office,2,0.05562539283469516,177,0.05562539283469516
Coffee Shop -> Drugstore / Pharmacy,2,0.055312954876273655,38,0.055312954876273655
Subway -> Office,2,0.05342551854179761,170,0.05342551854179761
Deli / Bodega -> Building,2,0.05326086956521739,49,0.05326086956521739
Office -> Food & Drink Shop,2,0.05036785512167515,89,0.05036785512167515
Bus Station -> Hotel,2,0.05021520803443329,35,0.05021520803443329
Subway -> Bank,2,0.05,25,0.05
Coffee Shop -> Train Station,2,0.04979004199160168,83,0.04979004199160168
Bar -> Clothing Store,2,0.04904632152588556,36,0.04904632152588556
